title,price,location,details,tags,image_url,url,price_shekels,rooms,area_sqm,floor,city,neighborhood,price_per_sqm
הרב הרצוג 22,₪ 2 800 000,"דירה, לב העיר, בת ים",4 חדרים • קומה 2 • 109 מ״ר,"ממ""ד, 4 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202507/08/2_1/o/y2_1pa_010330_20250708170550.jpeg,,2800000.0,4.0,109.0,2.0,בת ים,,25688.07339449541
המתמיד 8,₪ 5 500 000,"בית פרטי/ קוטג', רובע ה', אשדוד",7 חדרים • קומה קרקע • 430 מ״ר,"4 חדרי מקלחת, 4 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202509/02/2_1/o/y2_1pa_010202_20250902180641.jpeg,,5500000.0,4.0,430.0,4.0,Unknown,"קוטג', רובע ה', אשדוד",12790.697674418605
עמנואל אולסבנגר 112,₪ 2 245 000,"דירה, קרית היובל, ירושלים",3 חדרים • קומה 1 • 60 מ״ר,"נוף פתוח לפארק, חבל לפספס, בהזדמנות",https://img.yad2.co.il/Pic/202509/03/2_1/o/y2_1_04060_20250903102248.jpeg,,2245000.0,3.0,60.0,1.0,ירושלים,,37416.666666666664
אילת 35,₪ 2 600 000,"דירה, נאות רחל, חולון",4 חדרים • קומה 5 • 120 מ״ר,"4 חדרי מקלחת, 3 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202509/18/2_1/o/y2_1pa_010244_20250918001953.jpeg,,2600000.0,4.0,120.0,5.0,חולון,,21666.666666666668
"החי""ם 27",₪ 3 600 000,"בית פרטי/ קוטג', תל גיבורים, חולון",8 חדרים • קומה קרקע • 194 מ״ר,"ממ""ד, נכס חדש, יחידת הורים",https://img.yad2.co.il/Pic/202509/03/2_1/o/y2_1pa_010757_20250903192436.jpeg,,3600000.0,8.0,194.0,4.0,Unknown,"קוטג', תל גיבורים, חולון",18556.701030927834
הערמונים 12,₪ 2 400 000,"דירת גן, רמות יצחק, נשר",4.5 חדרים • קומה 1 • 112 מ״ר,"3 כיווני אוויר, חניה, בניין משופץ",https://img.yad2.co.il/Pic/202509/03/2_1/o/y2_1_03327_20250903114241.jpeg,,2400000.0,4.5,112.0,1.0,נשר,,21428.571428571428
הרשת 17,₪ 2 270 000,"דירה, לב העיר, בת ים",4 חדרים • קומה 2 • 87 מ״ר,"ממ""ד, נכס עורפי, קרוב לים",https://img.yad2.co.il/Pic/202509/15/2_1/o/y2_1pa_010990_20250915182404.jpeg,,2270000.0,4.0,87.0,2.0,בת ים,,26091.954022988506
הקונכייה 20,₪ 2 350 000,"דירה, עיר ימים / הבלוט, אשקלון",4 חדרים • קומה 3 • 120 מ״ר,"ממ""ד, 4 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202509/01/2_1/o/y2_1pa_010279_20250901180108.jpeg,,2350000.0,4.0,120.0,3.0,עיר ימים,"הבלוט, אשקלון",19583.333333333332
דגל ראובן 31,₪ 2 350 000,"דירה, כפר גנים א, פתח תקווה",4 חדרים • קומה 2 • 110 מ״ר,"3 כיווני אוויר, נוף פתוח לעיר, חניה",https://img.yad2.co.il/Pic/202509/04/2_1/o/y2_1pa_010677_20250904115251.jpeg,,2350000.0,4.0,110.0,2.0,פתח תקווה,,21363.636363636364
תמר 35,₪ 3 800 000,"בית פרטי/ קוטג', נווה נוי, באר שבע",5 חדרים • קומה קרקע • 500 מ״ר,"ממ""ד, 4 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202509/15/2_1/o/y2_1pa_010805_20250915184512.jpeg,,3800000.0,5.0,500.0,4.0,Unknown,"קוטג', נווה נוי, באר שבע",7600.0
